,filename,OBJECT,DATE-OBS
14491,S-2023APXX-2025-11-27T23:20:53.901-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:20:53.901
14510,S-2023APXX-2025-11-27T23:38:42.901-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:38:42.901
14515,S-2023APXX-2025-11-27T23:57:49.000-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:57:49.000
14518,S-2023APXX-2025-11-27T23:18:19.000-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:18:19.000
14553,S-2023APXX-2025-11-27T23:24:31.000-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:24:31.000
14556,S-2023APXX-2025-11-28T00:02:53.901-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-28T00:02:53.901
14559,S-2023APXX-2025-11-27T23:51:44.901-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:51:44.901
14564,S-2023APXX-2025-11-27T23:46:40.000-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:46:40.000
14568,S-2023APXX-2025-11-27T23:34:28.000-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:34:28.000
14569,S-2023APXX-2025-11-27T23:27:55.901-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-27T23:27:55.901
15040,S-2023APXX-2025-11-22T21:16:58.901-DFOT-2K_IMG1.fits,SN-2025ADVO,2025-11-22T21:16:58.901
15043,S-2023APXX-2025-11-22T21:14:14.000-DFOT-2K_IMG1.fits,SN-2025ADVO,2025-11-22T21:14:14.000
15099,S-2023APXX-2025-11-20T21:49:11.802-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-20T21:49:11.802
15102,S-2023APXX-2025-11-20T22:16:31.802-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-20T22:16:31.802
15106,S-2023APXX-2025-11-20T22:32:01.802-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-20T22:32:01.802
15107,S-2023APXX-2025-11-20T21:54:12.000-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-20T21:54:12.000
15113,S-2023APXX-2025-11-20T22:21:52.000-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-20T22:21:52.000
15115,S-2023APXX-2025-11-20T22:26:56.901-DFOT-2K_IMG1.fits,SN2025ADVO,2025-11-20T22:26:56.901
